#body,head,ruleId,isAgg,isTx
withdraw,send,0,false,false
refund,send,1,false,false
refundTotal,balanceOf,2,false,false
investTotal,balanceOf,2,false,false
balanceOf,refund,3,false,true
closed,refund,3,false,true
target,refund,3,false,true
raised,refund,3,false,true
raised,invest,4,false,true
closed,invest,4,false,true
target,invest,4,false,true
invest,investTotal,5,true,false
beneficiary,withdraw,8,false,true
target,withdraw,8,false,true
raised,withdraw,8,false,true
owner,closed,9,false,true
closed,missingFund,10,false,false
totalBalance,missingFund,10,false,false
raised,missingFund,10,false,false
invest,raised,13,true,false
refund,refundTotal,14,true,false
balanceOf,totalBalance,15,true,false
